Here is the list of QSL cards received and sent on FL activations until today.
You can also see if there was contribution received or not.

Notice that if you send an IRC as a contribution, it must be a valid current model.

On some of our earlier activations some people also have send a SASE ( = Self Addressed Stamped Envelope ) with
a stamp from their own country as a contribution.

In Finland we can only use Finnish stamps. So stamps from other countries are
not valid, including both the older stamps and Euro stamps.


Received from	Activation	Received on	Contribution		QSO nr.		QSL sent
30TDR027	56FL/ID		27/12/2011	-			16		22/08/2014
30WS001		56FL/HB15	31/10/2013	€1+SAE			93		29/08/2014 (economy)
34RC024		56FL/HB15	21/02/2014	$1			29		29/08/2014 (economy)
34RC229		56FL/EU101	27/12/2011	$1+SAE			163		16/09/2013 - Was returned by the post office (26/09/2013), Non Reclamé/Unclaimed
47AT124		56FL/HWC	02/09/2011	$1			323		02/04/2012 (economy)
47DX054		56FL/EU101	20/01/2012	$1+SAE			84		16/09/2013
47DX109/M	56FL/HWC	23/09/2011	$1+SAE			382		02/04/2012 (economy)
47DX142		56FL/HWC	29/06/2011	$1+SAE			127		02/04/2012 (economy)
47OD002		56FL/HWC	29/06/2011	$1			100		16/02/2012 (economy)
47OD181		56FL/HWC	29/06/2011	$1			154		16/02/2012 (economy)
47PL122		56FL/HWC	17/02/2012	$1			381		16/09/2013
47PL122		56FL/EU101	17/02/2012	$1			143		16/09/2013
56FL114		56FL/HB15	-		-			124		QSL given on 05/04/2015
56FL609		56FL/EU101	-		-			7		QSL given on 15/11/2013
56SD113		56FL/EU101	-		-			183		QSL given on 24/10/2013
93MU015		56FL/ID		17/02/2012	SAE			2		22/08/2014
104BG340	56FL/ID		11/12/2014	-			71		11/12/2014
109HA055	56FL/HWC	29/06/2011	$1+SAE			262		02/04/2012 (economy)
116TSB025	56FL/HB15	15/11/2013	NO CONTRIB.		141		29/08/2014 (economy)
161AT032	56FL/HWC	29/06/2011	$1+SAE			320		02/04/2012 (economy)
161AT142	56FL/HWC	27/05/2011	$1+SAE			57		24/02/2012 (economy)
161AT207	56FL/HWC	09/02/2011	$1+SAE			16		13/02/2012 (economy)
161BD384	56FL/HWC	29/06/2011	$1			81, 327		16/09/2013
161ET002	56FL/HWC	29/06/2011	$1+SAE			62		02/04/2012 (economy)
161KS001	56FL/HWC	02/12/2011	€2+SAE			369		27/02/2012 (economy)
161NR021	56FL/HWC	27/05/2011	$1+SAE			51		02/04/2012 (economy)
161NT043	56FL/HWC	29/06/2011	NO CONTRIB.		289		26/09/2013 (economy)
161SD040	56FL/HWC	29/06/2011	$1+SAE			277		02/04/2012 (economy)
161SD050	56FL/HWC	29/06/2011	$1+SAE			309		02/04/2012 (economy)
161SD102	56FL/EU101	16/12/2011	$1+SAE			154		16/09/2013
161TD067	56FL/HWC	29/06/2011	$1+Sticker		223		02/04/2012 (economy)
163AT136	56FL/EU101	25/11/2011	$1+SAE			69		16/09/2013
163ET102	56FL/ID		08/01/2015	SAE			57		12/01/2015
165LR1000	56FL/ID		19/12/2014	€1+SAE			74		22/12/2014

27/01/2011
56FL/HWC: 	70 QSLs received with contribution
		19 without contribution
		2 not in log
		HWC cards have been printed and some have been sent already, rest of the HWC cards will be sent when we receive also ID and EU101 cards from print


56FL/EU101:	56 QSLs received with contribution (+ 1 QSL received 2nd time from the same station)
		3 without contribution


56FL/ID (2011)	7 QSLs received



13/09/2013
66 letters leaved to post office
All 56FL/EU101 cards with contribution received will be in delivery on Monday 16/09/2013


22/08/2014
All 56FL/ID cards (19 cards to 16 operators) sent + 3 EU-101 and 2 HB15 cards


29/08/2014
Sent 39 letters (44 56FL/HB15 cards to 39 operators)






